REG NO,AVG_YR1,AVG_YR2,AVG_YR3,AVG_YR4
ECCI/05166/2013S,60.83,53.0,55.17,53.26
ECCI/05167/2013S,66.43,59.81,59.7,55.23
ECCI/05168/2013S,56.3,54.73,57.85,69.05
ECCI/05169/2013S,65.55,54.0,57.01,49.63
ECCI/05170/2013S,65.18,53.14,54.5,58.12
ECCI/05171/2013S,68.78,61.88,58.08,57.37
ECCI/05172/2013S,67.03,62.12,60.81,68.6
ECCI/05173/2013S,56.78,51.48,0.0,0.0
ECCI/05175/2013S,47.08,51.25,51.09,50.81
ECCI/05176/2013S,62.2,57.87,55.63,49.02
ECCI/05177/2013S,72.58,66.54,67.25,67.86
ECCI/05180/2013S,69.63,67.62,66.33,73.02
ECCI/05181/2013S,63.2,52.08,49.6,51.07
ECCI/05186/2013S,61.58,60.99,61.97,65.7
ECCI/05191/2013S,57.93,58.75,59.05,67.67
