Id,Date
1,2015-09-17
857,2015-09-16
1713,2015-09-15
2569,2015-09-14
3425,2015-09-13
4281,2015-09-12
5137,2015-09-11
5993,2015-09-10
6849,2015-09-09
7705,2015-09-08
8561,2015-09-07
9417,2015-09-06
10273,2015-09-05
11129,2015-09-04
11985,2015-09-03
12841,2015-09-02
13697,2015-09-01
14553,2015-08-31
15409,2015-08-30
16265,2015-08-29
17121,2015-08-28
17977,2015-08-27
18833,2015-08-26
19689,2015-08-25
20545,2015-08-24
21401,2015-08-23
22257,2015-08-22
23113,2015-08-21
23969,2015-08-20
24825,2015-08-19
25681,2015-08-18
26537,2015-08-17
27393,2015-08-16
28249,2015-08-15
29105,2015-08-14
29961,2015-08-13
30817,2015-08-12
31673,2015-08-11
32529,2015-08-10
33385,2015-08-09
34241,2015-08-08
35097,2015-08-07
35953,2015-08-06
36809,2015-08-05
37665,2015-08-04
38521,2015-08-03
39377,2015-08-02
40233,2015-08-01
2,2015-09-17
858,2015-09-16
1714,2015-09-15
2570,2015-09-14
3426,2015-09-13
4282,2015-09-12
5138,2015-09-11
5994,2015-09-10
6850,2015-09-09
7706,2015-09-08
8562,2015-09-07
9418,2015-09-06
10274,2015-09-05
11130,2015-09-04
11986,2015-09-03
12842,2015-09-02
13698,2015-09-01
14554,2015-08-31
15410,2015-08-30
16266,2015-08-29
17122,2015-08-28
17978,2015-08-27
18834,2015-08-26
19690,2015-08-25
20546,2015-08-24
21402,2015-08-23
22258,2015-08-22
23114,2015-08-21
23970,2015-08-20
24826,2015-08-19
25682,2015-08-18
26538,2015-08-17
27394,2015-08-16
28250,2015-08-15
29106,2015-08-14
29962,2015-08-13
30818,2015-08-12
31674,2015-08-11
32530,2015-08-10
33386,2015-08-09
34242,2015-08-08
35098,2015-08-07
35954,2015-08-06
36810,2015-08-05
37666,2015-08-04
38522,2015-08-03
39378,2015-08-02
40234,2015-08-01
3,2015-09-17
859,2015-09-16
1715,2015-09-15
2571,2015-09-14
3427,2015-09-13
4283,2015-09-12
5139,2015-09-11
5995,2015-09-10
6851,2015-09-09
7707,2015-09-08
8563,2015-09-07
9419,2015-09-06
10275,2015-09-05
11131,2015-09-04
11987,2015-09-03
12843,2015-09-02
13699,2015-09-01
14555,2015-08-31
15411,2015-08-30
16267,2015-08-29
17123,2015-08-28
17979,2015-08-27
18835,2015-08-26
19691,2015-08-25
20547,2015-08-24
21403,2015-08-23
22259,2015-08-22
23115,2015-08-21
23971,2015-08-20
24827,2015-08-19
25683,2015-08-18
26539,2015-08-17
27395,2015-08-16
28251,2015-08-15
29107,2015-08-14
29963,2015-08-13
30819,2015-08-12
31675,2015-08-11
32531,2015-08-10
33387,2015-08-09
34243,2015-08-08
35099,2015-08-07
35955,2015-08-06
36811,2015-08-05
37667,2015-08-04
38523,2015-08-03
39379,2015-08-02
40235,2015-08-01
4,2015-09-17
860,2015-09-16
1716,2015-09-15
2572,2015-09-14
3428,2015-09-13
4284,2015-09-12
5140,2015-09-11
5996,2015-09-10
6852,2015-09-09
7708,2015-09-08
8564,2015-09-07
9420,2015-09-06
10276,2015-09-05
11132,2015-09-04
11988,2015-09-03
12844,2015-09-02
13700,2015-09-01
14556,2015-08-31
15412,2015-08-30
16268,2015-08-29
17124,2015-08-28
17980,2015-08-27
18836,2015-08-26
19692,2015-08-25
20548,2015-08-24
21404,2015-08-23
22260,2015-08-22
23116,2015-08-21
23972,2015-08-20
24828,2015-08-19
25684,2015-08-18
26540,2015-08-17
27396,2015-08-16
28252,2015-08-15
29108,2015-08-14
29964,2015-08-13
30820,2015-08-12
31676,2015-08-11
32532,2015-08-10
33388,2015-08-09
34244,2015-08-08
35100,2015-08-07
35956,2015-08-06
36812,2015-08-05
37668,2015-08-04
38524,2015-08-03
39380,2015-08-02
40236,2015-08-01
5,2015-09-17
861,2015-09-16
1717,2015-09-15
2573,2015-09-14
